Date,Market_Price,Realized_Price,NUPL
2020-01-01,10496.714153011233,10496.714153011233,0.0
2020-01-02,9987.29938725403,10491.645349371858,-0.05049873269659698
2020-01-03,10900.345219512667,10495.712014746394,0.03712113668124385
2020-01-04,11904.320517333457,10509.728019747261,0.11715011331857032
2020-01-05,10277.323820918213,10507.415540156922,-0.022388291275826748
2020-01-06,10409.090777072204,10506.437184305334,-0.009352056708694665
2020-01-07,12355.766412767001,10524.838470160674,0.14818408518264486
2020-01-08,11678.900701260938,10536.321676440279,0.09783275447297009
2020-01-09,10578.50151764009,10536.741376352715,0.003947642415869464
2020-01-10,11728.654331088046,10548.601206748091,0.10061283170500628
2020-01-11,10862.414170205699,10551.72372379742,0.028602338443369693
2020-01-12,11001.469451303697,10556.198805663156,0.04047374285875745
2020-01-13,11852.168987222674,10569.094031350316,0.10825655264075187
2020-01-14,9841.584373229503,10561.855129279462,-0.07318646355450617
2020-01-15,10176.26511348935,10558.018412704436,-0.03751408743361508
2020-01-16,11486.884008980267,10567.260856448474,0.08005853909666412
2020-01-17,11186.008907967192,10573.417553478512,0.054764068179166646
2020-01-18,12664.445169780562,10594.22379841684,0.16346719841336657
2020-01-19,11595.230089014905,10604.184060014832,0.08547014775834172
2020-01-20,11245.714278837686,10610.56744527675,0.05647901216520873
2020-01-21,14280.14678432168,10647.080672530928,0.25441377926027564
2020-01-22,12746.926453751244,10667.974660403768,0.16309435854128346
2020-01-23,13200.168629243753,10693.170620292723,0.18992166534880528
2020-01-24,11869.57080290022,10704.87609474653,0.09812441641690252
2020-01-25,12913.363411984392,10726.851092928002,0.16932167471002735
2020-01-26,13733.851861752535,10756.771498587947,0.2167695117970125
2020-01-27,12638.881931069203,10775.49896557781,0.14743257953148375
2020-01-28,14334.289675158256,10810.909818409456,0.24580079910446626
2020-01-29,13528.445526844078,10837.949974712288,0.19887691803120486
2020-01-30,14009.665617657258,10869.509334343582,0.22414212937073533
2020-01-31,13873.716345588291,10899.401941420645,0.21438483605104477
2020-02-01,16503.558681569124,10955.164695053965,0.33619379271887007
2020-02-02,14815.439920250521,10993.575393812142,0.2579649708014714
2020-02-03,13950.686773378591,11022.999387638672,0.20985973187547158
2020-02-04,16012.211513113032,11072.643289384687,0.30848757023245277
2020-02-05,14151.90424434859,11103.282701871889,0.21542129524329812
2020-02-06,15766.508842142675,11149.682961974086,0.2928248686118874
2020-02-07,13784.691802170324,11175.901955408874,0.18925267856556
2020-02-08,14604.714740568987,11210.01949555972,0.2324383122375872
2020-02-09,16320.125513589112,11260.866321609765,0.31000124280703023
2020-02-10,17053.920983129352,11318.508656550259,0.33631047852589846
2020-02-11,16680.841021288936,11371.865197492933,0.318267874924317
2020-02-12,16589.67213274425,11423.783674460608,0.3113918356522158
2020-02-13,16601.8944013578,11475.30716428048,0.3087953165548407
2020-02-14,15623.98399616024,11516.587530766847,0.2628904680395749
2020-02-15,16583.999598830596,11567.009541394347,0.3025199094788942
2020-02-16,17046.37202391488,11621.53056112092,0.3182402364082681
2020-02-17,18769.127914161163,11692.650932792963,0.37702747904600575
2020-02-18,18262.445007281025,11758.022018111253,0.3561638645086424
2020-02-19,16364.431443157206,11803.85693776345,0.27868823437191653
2020-02-20,18662.021487428134,11872.097381043697,0.36383647457262547
2020-02-21,18165.13884718573,11934.714709065012,0.34298797221062693
2020-02-22,18087.396532364233,11995.935423724706,0.3367793202155945
2020-02-23,19591.901572108778,12071.517176444946,0.38385168320618374
2020-02-24,20228.93588708356,12152.685521824435,0.399242471790912
2020-02-25,20348.726306769604,12234.238166450754,0.3987713047975551
2020-02-26,18799.53105686964,12299.564463867857,0.34575152823434896
2020-02-27,19552.624401164332,12371.734214487722,0.3672596598464295
2020-02-28,20417.966843422622,12451.796230696029,0.3901549392168197
2020-02-29,21288.88563543369,12539.727468554116,0.41097304559320297
2020-03-01,20062.565232132747,12614.581575654402,0.37123785369925943
2020-03-02,20586.232096728367,12693.90148133673,0.38337907482573813
2020-03-03,19897.4504847728,12765.578585848532,0.3584314434847909
2020-03-04,20041.205497862957,12837.972883480517,0.35942112440045276
2020-03-05,22285.285728568568,12931.975996366966,0.41970786671185234
2020-03-06,23066.057022895606,13032.812623496606,0.4349787390814086
2020-03-07,21876.560779509775,13120.81011758629,0.4002343307145599
2020-03-08,23192.54136337569,13221.026348887677,0.42994490591852297
2020-03-09,22792.751868571686,13316.267398834781,0.4157674564431939
2020-03-10,22029.758746537216,13402.968805279583,0.3915971137275232
2020-03-11,23281.67681282735,13501.264407344735,0.42009054949572905
2020-03-12,24705.3445939255,13612.747792285838,0.44899583405799115
2020-03-13,23380.116277909783,13709.93553841145,0.4136070421786141
2020-03-14,25230.81037120205,13824.57110888698,0.45207581898891075
2020-03-15,21298.21803594684,13898.935754927375,0.34741320933662423
2020-03-16,24993.215285324408,14009.326596025854,0.4394748160212947
2020-03-17,24513.243163574552,14113.843178787534,0.42423599012961305
2020-03-18,24383.585452180792,14216.029669070056,0.416983622160513
2020-03-19,25032.24265641904,14323.653678894425,0.42779183329698994
2020-03-20,23212.272642636744,14412.097648682906,0.37911733717057544
2020-03-21,25240.977426205718,14519.847696220446,0.4247509733459992
2020-03-22,26079.99444658009,14634.874032044921,0.43884673510871797
2020-03-23,27464.409251889072,14762.531098909043,0.4624850305894113
2020-03-24,25733.25429789281,14871.692523774553,0.4220827124460378
2020-03-25,25709.390641513608,14979.530315990864,0.4173517947250358
2020-03-26,26283.811024676277,15092.010721052411,0.4258058427340146
2020-03-27,27969.95101402578,15220.14943043523,0.45583925324706676
2020-03-28,27653.549977532064,15343.864858764553,0.4451394171369996
2020-03-29,27066.529147971996,15460.508284527812,0.4287960528664158
2020-03-30,28382.258378700855,15589.08291233053,0.4507455078335422
2020-03-31,28239.95102494845,15714.962197033195,0.44352020358853
2020-04-01,29386.55098711785,15850.99790638727,0.46060366480789616
2020-04-02,27992.003698627246,15971.803934170754,0.429415482145209
2020-04-03,28643.631230846368,16097.89176796852,0.43799402951980904
2020-04-04,28857.47434388312,16224.852788624386,0.4377590846905302
2020-04-05,28065.375182077194,16342.668931842822,0.4176928394572327
2020-04-06,30105.301768768266,16479.61055211074,0.45260105084855995
2020-04-07,30351.47630680842,16617.639067082855,0.4524932197991569
2020-04-08,30377.685910441778,16754.5549560715,0.4484584834583326
2020-04-09,30421.011556046105,16890.53959885732,0.4447739001795171
